Channel Name,Total Followers,Avg Views/video,Avg Likes/video,Avg Comments/video,Engagement Rate
Music,108000000,0,0,0,0.0
PewDiePie,101000000,1228099460,89658259,7585486,0.37
YouTube Movies,90300000,0,0,0,0.0
Gaming,83100000,0,0,0,0.0
5-Minute Crafts,60800000,141586701,1590475,59936,0.01
Cocomelon - Nursery Rhymes,60700000,9818145453,24310258,191708,0.29
SET India,56800000,8646946,144815,9775,0.0
Canal KondZilla,52200000,168711770,6407420,140984,0.05
WWE,48800000,23108347,561002,49800,0.0
Justin Bieber,46600000,403857913,6571090,695576,0.16
Dude Perfect,46400000,5301238496,83306760,4921133,1.71
Zee Music Company,43900000,275060549,4221715,155055,0.02
Badabun,42700000,113069714,4024788,274024,0.02
Ed Sheeran,42100000,15890839077,96508248,3276600,1.77
HolaSoyGerman.,39800000,3587082331,120123868,13547360,3.36
Marshmello,39200000,349994803,9008956,421360,0.14
Ariana Grande,38300000,874314254,16588184,1007879,0.44
whinderssonnunes,36900000,1740924104,219802928,5259972,5.86
JuegaGerman,36800000,381251662,25912343,2941049,0.49
Taylor Swift,36100000,232343044,4008025,269452,0.11
